,Country,Indicator,Gender,Education_Level,Wealth_Quintile,Residence,Data_Year,Percentage,Data_Source
187,Guatemala,Out-of-school rate for children of primary school age,Total,,,,2020.0,10.55454,UIS
190,Guinea,Out-of-school rate for children of primary school age,Total,,,,2020.0,14.46402,UIS
193,Holy See,Out-of-school rate for children of primary school age,Total,,,,2022.0,0.0,UIS
196,Honduras,Out-of-school rate for children of primary school age,Total,,,,2018.0,15.69807,UIS
199,Hungary,Out-of-school rate for children of primary school age,Total,,,,2019.0,5.46731,UIS
202,Iceland,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.20488,UIS
205,India,Out-of-school rate for children of primary school age,Total,,,,2020.0,5.37329,UIS
208,Indonesia,Out-of-school rate for children of primary school age,Total,,,,2018.0,5.62332,UIS
209,Iran (Islamic Republic of),Out-of-school rate for children of primary school age,Total,,,,2020.0,0.14107,UIS
210,Ireland,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.13723,UIS
211,Israel,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.49926,UIS
214,Italy,Out-of-school rate for children of primary school age,Total,,,,2019.0,3.49892,UIS
217,Jamaica,Out-of-school rate for children of primary school age,Total,,,,2019.0,33.29653,UIS
220,Jordan,Out-of-school rate for children of primary school age,Total,,,,2020.0,20.08473,UIS
223,Kazakhstan,Out-of-school rate for children of primary school age,Total,,,,2020.0,9.61296,UIS
224,Kiribati,Out-of-school rate for children of primary school age,Total,,,,2020.0,3.2543,UIS
227,Kuwait,Out-of-school rate for children of primary school age,Total,,,,2016.0,2.70151,UIS
228,Kyrgyzstan,Out-of-school rate for children of primary school age,Total,,,,2020.0,0.11654,UIS
231,Lao People's Democratic Republic,Out-of-school rate for children of primary school age,Total,,,,2020.0,8.23966,UIS
237,Latvia,Out-of-school rate for children of primary school age,Total,,,,2019.0,1.17626,UIS
243,Lesotho,Out-of-school rate for children of primary school age,Total,,,,2018.0,6.81804,UIS
246,Liberia,Out-of-school rate for children of primary school age,Total,,,,2017.0,21.35893,UIS
249,Liechtenstein,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.07966,UIS
250,Lithuania,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.10193,UIS
253,Luxembourg,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.62121,UIS
254,Madagascar,Out-of-school rate for children of primary school age,Total,,,,2019.0,2.32186,UIS
257,Malaysia,Out-of-school rate for children of primary school age,Total,,,,2020.0,1.60434,UIS
260,Maldives,Out-of-school rate for children of primary school age,Total,,,,2019.0,2.00353,UIS
263,Mali,Out-of-school rate for children of primary school age,Total,,,,2018.0,40.98841,UIS
264,Malta,Out-of-school rate for children of primary school age,Total,,,,2017.0,0.23263,UIS
267,Marshall Islands,Out-of-school rate for children of primary school age,Total,,,,2020.0,29.77184,UIS
270,Mauritania,Out-of-school rate for children of primary school age,Total,,,,2019.0,23.1424,UIS
271,Mauritius,Out-of-school rate for children of primary school age,Total,,,,2021.0,0.33244,UIS
272,Mexico,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.79265,UIS
275,Micronesia (Federated States of),Out-of-school rate for children of primary school age,Total,,,,2020.0,16.67838,UIS
281,Mongolia,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.61612,UIS
284,Montenegro,Out-of-school rate for children of primary school age,Total,,,,2020.0,0.06794,UIS
287,Montserrat,Out-of-school rate for children of primary school age,Total,,,,2016.0,2.74174,UIS
290,Morocco,Out-of-school rate for children of primary school age,Total,,,,2020.0,0.44712,UIS
293,Mozambique,Out-of-school rate for children of primary school age,Total,,,,2020.0,0.86715,UIS
294,Myanmar,Out-of-school rate for children of primary school age,Total,,,,2018.0,1.9472,UIS
295,Namibia,Out-of-school rate for children of primary school age,Total,,,,2019.0,1.60896,UIS
298,Nauru,Out-of-school rate for children of primary school age,Total,,,,2020.0,4.34501,UIS
299,Nepal,Out-of-school rate for children of primary school age,Total,,,,2017.0,3.52287,UIS
302,Netherlands,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.4073,UIS
305,New Zealand,Out-of-school rate for children of primary school age,Total,,,,2019.0,5e-05,UIS
308,Niger,Out-of-school rate for children of primary school age,Total,,,,2019.0,41.02536,UIS
314,North Macedonia,Out-of-school rate for children of primary school age,Total,,,,2018.0,0.6982,UIS
317,Norway,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.00896,UIS
318,Oman,Out-of-school rate for children of primary school age,Total,,,,2020.0,1.62877,UIS
319,Palau,Out-of-school rate for children of primary school age,Total,,,,2020.0,3.93049,UIS
322,Panama,Out-of-school rate for children of primary school age,Total,,,,2020.0,10.51048,UIS
325,Papua New Guinea,Out-of-school rate for children of primary school age,Total,,,,2016.0,7.33083,UIS
326,Peru,Out-of-school rate for children of primary school age,Total,,,,2018.0,1.41641,UIS
329,Philippines,Out-of-school rate for children of primary school age,Total,,,,2020.0,3.56169,UIS
332,Poland,Out-of-school rate for children of primary school age,Total,,,,2019.0,1.1425,UIS
335,Portugal,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.35709,UIS
338,Qatar,Out-of-school rate for children of primary school age,Total,,,,2019.0,1.91902,UIS
341,Republic of Korea,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.00993,UIS
342,Republic of Moldova,Out-of-school rate for children of primary school age,Total,,,,2020.0,0.79093,UIS
345,Romania,Out-of-school rate for children of primary school age,Total,,,,2019.0,12.68297,UIS
348,Russian Federation,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.07131,UIS
351,Rwanda,Out-of-school rate for children of primary school age,Total,,,,2019.0,6.34215,UIS
352,Saint Kitts and Nevis,Out-of-school rate for children of primary school age,Total,,,,2016.0,1.0811,UIS
355,Saint Lucia,Out-of-school rate for children of primary school age,Total,,,,2020.0,3.24603,UIS
356,Saint Vincent and the Grenadines,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.36232,UIS
357,Samoa,Out-of-school rate for children of primary school age,Total,,,,2018.0,1.28989,UIS
360,San Marino,Out-of-school rate for children of primary school age,Total,,,,2020.0,3.72372,UIS
363,Sao Tome and Principe,Out-of-school rate for children of primary school age,Total,,,,2017.0,6.0331,UIS
366,Saudi Arabia,Out-of-school rate for children of primary school age,Total,,,,2020.0,5.17592,UIS
369,Senegal,Out-of-school rate for children of primary school age,Total,,,,2020.0,24.64498,UIS
372,Serbia,Out-of-school rate for children of primary school age,Total,,,,2020.0,2.89295,UIS
375,Seychelles,Out-of-school rate for children of primary school age,Total,,,,2020.0,1.43445,UIS
378,Sierra Leone,Out-of-school rate for children of primary school age,Total,,,,2016.0,0.511,UIS
381,Singapore,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.10108,UIS
384,Slovakia,Out-of-school rate for children of primary school age,Total,,,,2019.0,3.28853,UIS
387,Slovenia,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.10858,UIS
390,Solomon Islands,Out-of-school rate for children of primary school age,Total,,,,2019.0,6.64771,UIS
393,South Africa,Out-of-school rate for children of primary school age,Total,,,,2019.0,10.78704,UIS
399,South Sudan,Out-of-school rate for children of primary school age,Total,,,,2015.0,62.35948,UIS
402,Spain,Out-of-school rate for children of primary school age,Total,,,,2019.0,2.80019,UIS
405,Sri Lanka,Out-of-school rate for children of primary school age,Total,,,,2018.0,0.53962,UIS
408,State of Palestine,Out-of-school rate for children of primary school age,Total,,,,2020.0,4.7114,UIS
414,Sudan,Out-of-school rate for children of primary school age,Total,,,,2018.0,32.8676,UIS
417,Suriname,Out-of-school rate for children of primary school age,Total,,,,2020.0,11.7695,UIS
418,Sweden,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.12493,UIS
419,Switzerland,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.08485,UIS
422,Tajikistan,Out-of-school rate for children of primary school age,Total,,,,2017.0,0.54687,UIS
425,Timor-Leste,Out-of-school rate for children of primary school age,Total,,,,2019.0,4.9043,UIS
428,Togo,Out-of-school rate for children of primary school age,Total,,,,2020.0,1.21733,UIS
429,Tonga,Out-of-school rate for children of primary school age,Total,,,,2020.0,0.63236,UIS
432,Turks and Caicos Islands,Out-of-school rate for children of primary school age,Total,,,,2018.0,13.21677,UIS
435,Tuvalu,Out-of-school rate for children of primary school age,Total,,,,2020.0,17.42183,UIS
438,Türkiye,Out-of-school rate for children of primary school age,Total,,,,2019.0,4.78203,UIS
441,Uganda,Out-of-school rate for children of primary school age,Total,,,,2017.0,13.90533,UIS
444,Ukraine,Out-of-school rate for children of primary school age,Total,,,,2014.0,8.00895,UIS
445,United Arab Emirates,Out-of-school rate for children of primary school age,Total,,,,2020.0,0.23628,UIS
448,United Kingdom,Out-of-school rate for children of primary school age,Total,,,,2019.0,1.13423,UIS
451,United Republic of Tanzania,Out-of-school rate for children of primary school age,Total,,,,2020.0,16.07893,UIS
454,United States,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.91657,UIS
457,Uruguay,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.56478,UIS
460,Uzbekistan,Out-of-school rate for children of primary school age,Total,,,,2020.0,0.93533,UIS
463,Vanuatu,Out-of-school rate for children of primary school age,Total,,,,2020.0,3.40727,UIS
466,Venezuela (Bolivarian Republic of),Out-of-school rate for children of primary school age,Total,,,,2017.0,9.61041,UIS
478,Yemen,Out-of-school rate for children of primary school age,Total,,,,2016.0,15.60336,UIS
481,Zambia,Out-of-school rate for children of primary school age,Total,,,,2017.0,14.89646,UIS
484,Zimbabwe,Out-of-school rate for children of primary school age,Total,,,,2020.0,13.63717,UIS
2,Albania,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,3.54768,UIS
5,Antigua and Barbuda,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,2.51633,UIS
8,Argentina,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,0.93901,UIS
11,Armenia,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,9.77754,UIS
14,Australia,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,2.02186,UIS
17,Austria,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,0.79665,UIS
20,Azerbaijan,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,0.62423,UIS
23,Bahrain,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,3.73934,UIS
26,Bangladesh,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2017.0,33.12739,UIS
29,Barbados,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,3.66317,UIS
32,Belarus,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,0.14013,UIS
35,Belgium,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,0.33254,UIS
38,Belize,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,15.2496,UIS
41,Benin,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,42.0731,UIS
44,Bhutan,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2018.0,12.01717,UIS
47,Bolivia (Plurinational State of),Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,11.59237,UIS
50,Bosnia and Herzegovina,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2018.0,6.18157,UIS
53,Botswana,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2017.0,9.94483,UIS
56,Brazil,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,2.35421,UIS
57,British Virgin Islands,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2015.0,4.82655,UIS
58,Brunei Darussalam,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,0.2562,UIS
61,Bulgaria,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,14.57411,UIS
64,Burkina Faso,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,46.70875,UIS
67,Burundi,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2021.0,29.66191,UIS
70,Cabo Verde,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,12.51439,UIS
73,Cambodia,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,14.66981,UIS
76,Cameroon,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2016.0,36.71663,UIS
79,Canada,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2015.0,0.07248,UIS
82,Central African Republic,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2017.0,52.11755,UIS
85,Chad,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,62.22386,UIS
88,Chile,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,3.86558,UIS
91,Colombia,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,0.92469,UIS
94,Comoros,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2018.0,19.20764,UIS
97,Cook Islands,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2017.0,2.93487,UIS
100,Costa Rica,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,3.8524,UIS
101,Croatia,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,1.10076,UIS
104,Cuba,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,12.42943,UIS
107,Cyprus,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,0.64127,UIS
110,Czechia,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,0.42009,UIS
113,Côte d'Ivoire,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2021.0,42.0282,UIS
116,Denmark,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,0.14474,UIS
119,Djibouti,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2021.0,39.5577,UIS
122,Dominica,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,2.77674,UIS
125,Dominican Republic,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,8.90031,UIS
137,Ecuador,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,1.53262,UIS
140,Egypt,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,2.38687,UIS
143,Eritrea,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2018.0,36.08021,UIS
146,Estonia,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,1.34192,UIS
149,Eswatini,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2015.0,2.76242,UIS
152,Ethiopia,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2015.0,47.04813,UIS
156,Fiji,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2014.0,0.68216,UIS
159,Finland,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,0.14656,UIS
162,France,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,0.46203,UIS
165,Gabon,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,30.21708,UIS
168,Gambia,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2021.0,14.57672,UIS
171,Georgia,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,1.15697,UIS
174,Germany,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,4.30337,UIS
177,Ghana,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,7.61995,UIS
180,Greece,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,3.17632,UIS
181,Grenada,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2014.0,3.19657,UIS
184,Guatemala,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,34.68919,UIS
187,Guinea,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2016.0,53.88907,UIS
190,Holy See,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2022.0,0.0,UIS
193,Honduras,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2018.0,39.49258,UIS
196,Hungary,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,2.97966,UIS
199,Iceland,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,0.2721,UIS
202,India,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,15.12684,UIS
205,Indonesia,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2018.0,16.33552,UIS
208,Iran (Islamic Republic of),Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,1.74555,UIS
209,Ireland,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,0.63279,UIS
210,Israel,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,0.01179,UIS
213,Italy,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,2.44502,UIS
216,Jordan,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,27.84917,UIS
217,Kazakhstan,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,0.01898,UIS
220,Kuwait,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2015.0,6.27645,UIS
223,Kyrgyzstan,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,0.50845,UIS
226,Lao People's Democratic Republic,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,30.49338,UIS
232,Latvia,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,1.74196,UIS
238,Lesotho,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2018.0,14.52918,UIS
241,Liberia,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2014.0,21.28734,UIS
244,Liechtenstein,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,2.60459,UIS
245,Lithuania,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,0.14682,UIS
248,Luxembourg,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,2.44894,UIS
251,Madagascar,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,30.03208,UIS
254,Malawi,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,18.56497,UIS
257,Malaysia,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,11.24042,UIS
260,Maldives,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,8.62392,UIS
263,Mali,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2018.0,52.77266,UIS
266,Malta,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,1.53085,UIS
269,Marshall Islands,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,27.91451,UIS
272,Mauritania,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,28.16043,UIS
275,Mauritius,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2021.0,3.40433,UIS
278,Mexico,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,7.64868,UIS
281,Micronesia (Federated States of),Out-of-school rate for adolescents of lower secondary school age,Total,,,,2014.0,12.7594,UIS
287,Mongolia,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,7.54602,UIS
290,Montenegro,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,6.08159,UIS
291,Montserrat,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,7.33867,UIS
294,Morocco,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,7.16013,UIS
297,Mozambique,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,37.98249,UIS
300,Myanmar,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2018.0,20.96568,UIS
303,Namibia,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,1.29893,UIS
306,Nauru,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,7.92541,UIS
309,Nepal,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2017.0,5.33436,UIS
312,Netherlands,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,2.77793,UIS
315,New Zealand,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,0.10006,UIS
318,Niger,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2017.0,64.94287,UIS
324,Norway,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,0.42004,UIS
327,Oman,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,2.65875,UIS
328,Palau,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,15.93291,UIS
331,Panama,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2017.0,12.17886,UIS
334,Papua New Guinea,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2018.0,27.52129,UIS
337,Peru,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2018.0,1.76867,UIS
340,Philippines,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,9.3812,UIS
343,Poland,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,3.28863,UIS
346,Portugal,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,0.13812,UIS
349,Qatar,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,6.97839,UIS
352,Republic of Korea,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,4.8695,UIS
353,Republic of Moldova,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,0.81175,UIS
356,Romania,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,11.1849,UIS
359,Russian Federation,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,0.23829,UIS
362,Rwanda,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,3.76629,UIS
365,Saint Lucia,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,9.11155,UIS
368,Saint Vincent and the Grenadines,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,3.0051,UIS
369,Samoa,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,2.12679,UIS
372,San Marino,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,8.41813,UIS
375,Sao Tome and Principe,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2015.0,9.58734,UIS
378,Saudi Arabia,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,1.62103,UIS
381,Senegal,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,60.1813,UIS
384,Serbia,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,2.7902,UIS
387,Seychelles,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,2.92379,UIS
390,Sierra Leone,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2018.0,49.02927,UIS
393,Singapore,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,0.30335,UIS
396,Slovakia,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,4.61258,UIS
399,Slovenia,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,1.10456,UIS
402,South Africa,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,10.32395,UIS
408,South Sudan,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2015.0,55.93645,UIS
411,Spain,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,0.36336,UIS
414,Sri Lanka,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2018.0,0.1315,UIS
417,State of Palestine,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,3.05891,UIS
423,Sudan,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2018.0,34.34396,UIS
426,Suriname,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2015.0,14.99116,UIS
427,Sweden,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2015.0,0.15907,UIS
430,Switzerland,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,0.61493,UIS
433,Timor-Leste,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,10.22936,UIS
436,Togo,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2017.0,21.44502,UIS
439,Tonga,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,10.88344,UIS
442,Turks and Caicos Islands,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,11.95079,UIS
445,Tuvalu,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,33.19797,UIS
448,Türkiye,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,3.48943,UIS
451,Uganda,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2017.0,48.75536,UIS
454,Ukraine,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2014.0,3.64492,UIS
457,United Arab Emirates,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,0.71596,UIS
460,United Kingdom,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,0.16207,UIS
463,United Republic of Tanzania,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2016.0,71.75247,UIS
466,Uruguay,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,0.83821,UIS
469,Uzbekistan,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2019.0,1.21014,UIS
472,Vanuatu,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,25.13063,UIS
475,Venezuela (Bolivarian Republic of),Out-of-school rate for adolescents of lower secondary school age,Total,,,,2017.0,14.0777,UIS
487,Yemen,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2016.0,28.44315,UIS
488,Zimbabwe,Out-of-school rate for adolescents of lower secondary school age,Total,,,,2020.0,21.87541,UIS
2,Afghanistan,Out-of-school rate for youth of upper secondary school age,Total,,,,2018.0,55.89854,UIS
5,Albania,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,18.74204,UIS
6,Anguilla,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,4.33056,UIS
9,Antigua and Barbuda,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,12.68946,UIS
12,Argentina,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,10.65845,UIS
15,Armenia,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,7.72412,UIS
18,Australia,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,7.23036,UIS
21,Austria,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,9.77608,UIS
24,Azerbaijan,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,0.14683,UIS
27,Bahrain,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,12.71451,UIS
30,Bangladesh,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,36.89385,UIS
33,Barbados,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,6.12191,UIS
36,Belarus,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,6.21312,UIS
39,Belgium,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,2.09523,UIS
42,Belize,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,31.28569,UIS
45,Benin,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,63.73174,UIS
48,Bhutan,Out-of-school rate for youth of upper secondary school age,Total,,,,2018.0,27.71668,UIS
51,Bolivia (Plurinational State of),Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,21.81521,UIS
54,Bosnia and Herzegovina,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,18.55448,UIS
57,Botswana,Out-of-school rate for youth of upper secondary school age,Total,,,,2017.0,19.78289,UIS
60,Brazil,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,14.99522,UIS
63,British Virgin Islands,Out-of-school rate for youth of upper secondary school age,Total,,,,2016.0,19.81567,UIS
66,Brunei Darussalam,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,16.74752,UIS
69,Bulgaria,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,15.62083,UIS
